id v_1_x v_1_y v_2_x v_2_y face fix_aix angle
0 32.81 36.53 32.81 32.62 1 x 0
1 32.81 43.4 32.81 39.49 1 x 0
2 32.81 49.89 32.81 46.16 1 x 0
3 32.81 57.89 32.81 54.55 1 x 0
4 15.83 58.37 20.22 58.37 2 y 90
5 9.35 58.37 13.54 58.37 2 y 90
6 2.67 58.37 6.48 58.37 2 y 90
7 0.0 55.79 0.0 53.88 3 x 180
8 0.0 50.45 0.0 47.31 3 x 180
9 0.0 43.78 0.0 40.92 3 x 180
10 0.0 36.43 0.0 33.57 3 x 180
11 0.0 29.19 0.0 27.28 3 x 180
12 3.53 24.32 3.53 20.87 4 x 180
13 3.53 19.46 3.53 17.77 4 x 180
14 3.53 15.17 3.53 11.92 4 x 180
15 3.53 8.11 3.53 5.34 4 x 180
16 5.44 0.0 6.87 0.0 5 y 270
17 11.25 0.0 14.02 0.0 5 y 270
18 17.93 0.0 20.6 0.0 5 y 270
19 24.41 0.0 27.18 0.0 5 y 270
20 31.09 0.0 34.05 0.0 5 y 270
21 37.86 0.0 40.72 0.0 5 y 270
22 44.82 0.0 47.49 0.0 5 y 270
23 51.31 0.0 54.46 0.0 5 y 270
24 59.51 0.0 63.52 0.0 5 y 270
25 68.38 6.58 68.38 4.49 6 x 0
26 68.38 12.69 68.38 9.54 6 x 0
27 68.38 19.55 68.38 16.69 6 x 0
28 65.01 25.56 68.19 25.56 7 y 90
29 57.41 25.56 61.51 25.56 7 y 90
30 50.74 25.56 54.84 25.56 7 y 90
31 43.97 25.56 47.97 25.56 7 y 90
